Mass,Radius,Pressure,k2,yR,yR_ext,Type
1.8356459209845382,8.829999999999856,945.0,0.06958456538015784,2.063269571810167,0.415798243798047,1
1.8354724449180662,8.829999999999856,946.0,0.06958569417812865,2.063621835218376,0.41599479969541875,1
1.835298950590982,8.829999999999856,947.0,0.06958684424405301,2.0639736674305937,0.41619087856634995,1
1.8351254385902533,8.829999999999856,948.0,0.06958801550173295,2.0643250689798993,0.416386481453368,1
1.834951909494514,8.819999999999856,949.0,0.06921032632829557,2.064676040395745,0.4221746852568824,1
1.8347783638875454,8.819999999999856,950.0,0.06921151050909254,2.0650265822138607,0.42236986831328927,1
1.8346048023442902,8.819999999999856,951.0,0.06921271553618036,2.06537669496592,0.4225645786408381,1
1.8344312254337558,8.819999999999856,952.0,0.06921394133570576,2.065726379181707,0.42275881726248876,1
1.8342576337290366,8.819999999999856,953.0,0.06921518783315873,2.0660756353964036,0.4229525852106366,1
1.8340840277906258,8.819999999999856,954.0,0.0692164549555999,2.066424464138349,0.42314588349992577,1
1.8339104081840027,8.819999999999856,955.0,0.06921774262927755,2.0667728659419136,0.423338713155871,1
1.8337367754650213,8.819999999999856,956.0,0.06921905078164271,2.06712084133676,0.4235310751910284,1
1.8335631301912783,8.819999999999856,957.0,0.06922037933974519,2.067468390856165,0.4237229706235006,1
1.833389472913333,8.819999999999856,958.0,0.06922172823149436,2.0678155150305595,0.4239144004626052,1
1.8332158041804798,8.809999999999857,959.0,0.068846175706222,2.068162214391746,0.42969105804174834,1
1.8330421245379522,8.809999999999857,960.0,0.06884753497075778,2.068508489470809,0.42988208896088853,1
1.8328684345246167,8.809999999999857,961.0,0.06884891424007182,2.068854340796419,0.4300726574325877,1
1.8326947346833204,8.809999999999857,962.0,0.06885031344304696,2.0691997689024197,0.430262764462507,1
1.832521025546671,8.809999999999857,963.0,0.06885173250979786,2.0695447743173427,0.43045241104219967,1
1.832347307650122,8.809999999999857,964.0,0.06885317136999862,2.0698893575740196,0.43064159817041925,1
1.832173581518309,8.809999999999857,965.0,0.06885462995457563,2.070233519199507,0.43083032683082245,1
1.8319998476800283,8.809999999999857,966.0,0.06885610819383764,2.07057725972608,0.4310185980163579,1
1.8318261066578865,8.809999999999857,967.0,0.06885760601879841,2.0709205796836274,0.4312064127124007,1
1.8316523589713474,8.809999999999857,968.0,0.06885912336076608,2.0712634796018383,0.43139377190166206,1
1.8314786051357286,8.799999999999857,969.0,0.06848567787877709,2.0716059600094665,0.4371589890645329,1
1.8313048456655787,8.799999999999857,970.0,0.06848720317974635,2.071948021436794,0.43734596946298,1
1.8311310810709822,8.799999999999857,971.0,0.06848874768392034,2.0722896644128963,0.4375324974034498,1
1.8309573118593034,8.799999999999857,972.0,0.0684903113242126,2.0726308894668906,0.43771857385711477,1
1.8307835385347648,8.799999999999857,973.0,0.06849189403380845,2.0729716971276373,0.437904199792424,1
1.830609761595515,8.799999999999857,974.0,0.06849349574658804,2.07331208792153,0.4380893761702711,1
1.8304359815440296,8.799999999999857,975.0,0.068495116395786,2.073652062380168,0.4382741039609548,1
1.8302621988730465,8.799999999999857,976.0,0.06849675591580434,2.0739916210299607,0.4384583841212195,1
1.830088414076096,8.799999999999857,977.0,0.06849841424081662,2.0743307643998667,0.43864221761139754,1
1.8299146276411786,8.799999999999857,978.0,0.06850009130562837,2.0746694930167244,0.4388256053850881,1
1.8297408400549995,8.799999999999857,979.0,0.06850178704516714,2.075007807408364,0.4390085483960524,1
1.8295670518006055,8.789999999999857,980.0,0.0681304071225215,2.075345708101827,0.44476251156516633,1
1.8293932633592298,8.789999999999857,981.0,0.0681321083011434,2.0756831956247264,0.444945097177178,1
1.8292194752075628,8.789999999999857,982.0,0.06813382785645049,2.0760202705032156,0.4451272409695821,1
1.8290456878216659,8.789999999999857,983.0,0.0681355657247072,2.076356933264855,0.44530894388622255,1
1.8288719016700472,8.789999999999857,984.0,0.06813732184306488,2.076693184433477,0.44549020686079976,1
1.8286981172253352,8.789999999999857,985.0,0.06813909614806464,2.077029024537809,0.44567103083589776,1
1.8285243349520344,8.789999999999857,986.0,0.06814088857721012,2.077364454102394,0.4458514167429859,1
1.8283505553148698,8.789999999999857,987.0,0.06814269906787417,2.0776994736537477,0.44603136551601574,1
1.828176778770489,8.789999999999857,988.0,0.06814452755837601,2.0780340837142095,0.4462108780778651,1
1.8280030057810766,8.789999999999857,989.0,0.06814637398625548,2.078368284811995,0.4463899553625392,1
1.827829236800753,8.789999999999857,990.0,0.06814823828997905,2.0787020774711165,0.4465685982929499,1
1.8276554722792184,8.779999999999857,991.0,0.06777889349329955,2.0790354622140623,0.45231142340101127,1
