# model: HHJ_2 
Mass Radius Pressure 
1.69234862e+00 1.22030000e+01 4.10708863e-13
1.69638362e+00 1.21990000e+01 2.11461348e-13
1.70036834e+00 1.21940000e+01 4.45052803e-13
1.70430363e+00 1.21900000e+01 8.74052877e-14
1.70819036e+00 1.21850000e+01 4.76703187e-13
1.71202935e+00 1.21810000e+01 1.15246073e-13
1.71582141e+00 1.21760000e+01 5.44597490e-13
1.71956733e+00 1.21720000e+01 1.23831645e-13
1.72326789e+00 1.21675000e+01 2.34308243e-13
1.72692385e+00 1.21630000e+01 1.34203037e-13
1.73053593e+00 1.21585000e+01 2.49323568e-13
1.73410488e+00 1.21540000e+01 1.47125787e-13
1.73763138e+00 1.21495000e+01 2.80770440e-13
1.74111613e+00 1.21450000e+01 1.65351516e-13
1.74455982e+00 1.21410000e+01 1.76376160e-14
1.74796309e+00 1.21360000e+01 2.16882280e-13
1.75132660e+00 1.21319237e+01 4.71313586e-15
1.75465098e+00 1.21270000e+01 7.75573634e-13
1.75793684e+00 1.21230000e+01 4.47332372e-15
1.76118480e+00 1.21180000e+01 9.41069268e-13
1.76439545e+00 1.21140000e+01 1.77514791e-14
1.76756936e+00 1.21097500e+01 1.82481032e-13
1.77070712e+00 1.21050000e+01 1.46957605e-13
1.77380926e+00 1.21010000e+01 8.45764384e-16
1.77687635e+00 1.20960000e+01 5.37040597e-13
1.77990891e+00 1.20920000e+01 5.48937364e-15
1.78290747e+00 1.20870000e+01 6.66911859e-13
1.78587253e+00 1.20829130e+01 1.00309617e-15
1.78880461e+00 1.20790000e+01 1.56844426e-15
1.79170419e+00 1.20740000e+01 1.02197703e-13
1.79457176e+00 1.20697500e+01 1.81530504e-13
1.79740779e+00 1.20650000e+01 5.33407478e-13
1.80021274e+00 1.20610000e+01 6.29630168e-15
1.80298707e+00 1.20568555e+01 7.49285539e-16
1.80573122e+00 1.20520000e+01 3.37607034e-13
1.80844563e+00 1.20477500e+01 1.88747056e-13
1.81113073e+00 1.20430000e+01 9.77490990e-13
1.81378694e+00 1.20390000e+01 1.46653361e-14
1.81641466e+00 1.20349660e+01 6.80751397e-16
1.81901432e+00 1.20300000e+01 8.24054152e-13
1.82158629e+00 1.20259082e+01 3.09716962e-16
1.82413098e+00 1.20218555e+01 7.99004058e-16
1.82664875e+00 1.20170000e+01 7.44715422e-13
1.82914000e+00 1.20130000e+01 2.30320707e-14
